jobcode	jobtitle
600670	traceur(-euse) de ligne sur la chaussee
223060	chef(fe) de division - planification,ress.informationnelles
222040	contremaitre(-tresse)-operations et amenagement
223090	chef(fe) de section - respect de la personne
216910	assistant(e) administratif(-tive)
214330	chef(fe) de division - poursuites penales et criminelles
212980	chef(fe) de section - usines de l ouest
222850	chef(fe) de division - gestion parc vehicules, equipements et planification operationnelle
207770	responsable de la releve spvm
603030	prepose(e) au service des sports, loisirs et developpement social
207310	chef(fe) de division - affaires civiles
210110	chef(fe) de division - urbanisme, permis et inspections (arrondissement)
300630	agronome
214770	chef(fe) de section - qualite du milieu (arrondissement st-leonard)
718140	special - natation v - stlau
221550	chef(fe) de section - exploitation des batiments specialises
400390	ingenieur(e) conseiller(ere) technique
221180	chef(fe) de division - strategies et pratiques d affaires
104190	directeur(-trice) - projets d amenagement urbain
601470	rembourreur(-euse)
106250	directeur(-trice) - investissement et developpement strategique
214420	chef(fe) de division - operations travaux publics
220700	directeur(-trice) - developpement du bureau du taxi de montreal
210820	chef(fe) de division - developpement des projets en transport
213540	c/m propreté   deneigement <<arr.lasa,outr>>
105970	directeur(-trice)-bureau des relations internationales
221830	chef(fe) de section - inspection residentielle
212950	chef(fe) de section - formation vehicules
712350	chef(fe) de l atelier de l imprimerie - st-leonard
602880	prepose(e) au service - garage - approvisionnement
602320	mecanicien(ne) en controle pneumatique - v.c.r.
107070	directeur(-trice) - strategies et programmes sociaux
302400	chef(fe) de division - secretariat aux commissions
218740	c/m soutien opérations
106900	directeur(-trice) - strategie et performance
215800	c/d developpement economique et initiatives stratégiques
217530	planificateur - entretien (service de l eau)
212520	c/d génie <<arr._st-leonard>>
222140	chef(fe) de division - infrastructures et operations de securite
106200	directeur(-trice) - gestion des projets - developpement et maintien d actifs immobiliers
222280	chef(fe) de division - negociateur(-trice) en chef adjoint(e)
721850	charge(e) de soutien technique acquisition biens et services
106940	directeur(-trice) - affaires publiques et protocole
106950	directeur(-trice) bureau de projets
212770	c/m  a l ent. des controles   de l instrumentation
221150	chef(fe) de division - gestion du changement organisationnel
220030	inspecteur(-trice) général(e) adjoint(e) - inspections et enquêtes
223240	administrateur senior - régimes de retraite
